County,Year,Deaths
"Cook County, IL",2006,57
"Cook County, IL",2007,71
"Cook County, IL",2008,68
"Cook County, IL",2009,69
"Cook County, IL",2010,71
"Cook County, IL",2011,44
"Cook County, IL",2012,104
"Cook County, IL",2013,427
"Cook County, IL",2014,442
"Cook County, IL",2015,488
"Cook County, IL",2016,737
"Cook County, IL",2017,936
"Genesee County, MI",2008,66
"Genesee County, MI",2009,65
"Genesee County, MI",2010,94
"Genesee County, MI",2011,90
"Genesee County, MI",2012,69
"Genesee County, MI",2013,45
"Genesee County, MI",2014,38
"Genesee County, MI",2015,35
"Genesee County, MI",2016,105
"Genesee County, MI",2017,109
"Lake County, IN",2008,11
"Lake County, IN",2009,11
"Lake County, IN",2012,16
"Lake County, IN",2013,29
"Lake County, IN",2014,24
"Lake County, IN",2015,23
"Lake County, IN",2016,40
"Lake County, IN",2017,87
"Mahoning County, OH",2006,11
"Mahoning County, OH",2007,12
"Mahoning County, OH",2008,17
"Mahoning County, OH",2010,28
"Mahoning County, OH",2011,41
"Mahoning County, OH",2012,43
"Mahoning County, OH",2013,44
"Mahoning County, OH",2014,42
"Mahoning County, OH",2015,55
"Mahoning County, OH",2016,66
"Mahoning County, OH",2017,57
"Mohave County, AZ",2008,15
"Mohave County, AZ",2009,43
"Mohave County, AZ",2010,49
"Mohave County, AZ",2011,36
"Mohave County, AZ",2012,27
"Mohave County, AZ",2013,30
"Mohave County, AZ",2014,26
"Mohave County, AZ",2015,22
"Mohave County, AZ",2016,12
"Richland County, OH",2013,19
"Richland County, OH",2014,17
"Richland County, OH",2015,23
"Richland County, OH",2016,37
"Saginaw County, MI",2016,21
"Saginaw County, MI",2017,12
"Trumbull County, OH",2006,14
"Trumbull County, OH",2007,28
"Trumbull County, OH",2008,11
"Trumbull County, OH",2010,22
"Trumbull County, OH",2011,32
"Trumbull County, OH",2012,11
"Trumbull County, OH",2013,30
"Trumbull County, OH",2014,51
"Trumbull County, OH",2015,70
"Trumbull County, OH",2016,42
"Trumbull County, OH",2017,41
"Wayne County, MI",2006,163
"Wayne County, MI",2007,88
"Wayne County, MI",2008,136
"Wayne County, MI",2009,153
"Wayne County, MI",2010,112
"Wayne County, MI",2011,104
"Wayne County, MI",2012,145
"Wayne County, MI",2013,234
"Wayne County, MI",2014,250
"Wayne County, MI",2015,367
"Wayne County, MI",2016,401
"Wayne County, MI",2017,448
