"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Multiple Cause of death"	"Multiple Cause of death Code"	Deaths	Population	Crude Rate
	"Mohave County, AZ"	"04015"	"2008"	"2008"	"Other opioids"	"T40.2"	15	200078	Unreliable
	"Mohave County, AZ"	"04015"	"2009"	"2009"	"Other opioids"	"T40.2"	26	199696	13.02
	"Mohave County, AZ"	"04015"	"2009"	"2009"	"Methadone"	"T40.3"	17	199696	Unreliable
	"Mohave County, AZ"	"04015"	"2010"	"2010"	"Other opioids"	"T40.2"	30	200186	14.99
	"Mohave County, AZ"	"04015"	"2010"	"2010"	"Methadone"	"T40.3"	19	200186	Unreliable
	"Mohave County, AZ"	"04015"	"2011"	"2011"	"Other opioids"	"T40.2"	36	202351	17.79
	"Mohave County, AZ"	"04015"	"2012"	"2012"	"Other opioids"	"T40.2"	27	203334	13.28
	"Mohave County, AZ"	"04015"	"2013"	"2013"	"Other opioids"	"T40.2"	30	203030	14.78
	"Mohave County, AZ"	"04015"	"2014"	"2014"	"Other opioids"	"T40.2"	26	203361	12.79
	"Mohave County, AZ"	"04015"	"2015"	"2015"	"Other opioids"	"T40.2"	22	204737	10.75
	"Mohave County, AZ"	"04015"	"2016"	"2016"	"Other opioids"	"T40.2"	12	205249	Unreliable
	"Cook County, IL"	"17031"	"2006"	"2006"	"Other opioids"	"T40.2"	20	5165495	0.39
	"Cook County, IL"	"17031"	"2006"	"2006"	"Methadone"	"T40.3"	37	5165495	0.72
	"Cook County, IL"	"17031"	"2007"	"2007"	"Other opioids"	"T40.2"	28	5154235	0.54
	"Cook County, IL"	"17031"	"2007"	"2007"	"Methadone"	"T40.3"	43	5154235	0.83
	"Cook County, IL"	"17031"	"2008"	"2008"	"Other opioids"	"T40.2"	32	5161831	0.62
	"Cook County, IL"	"17031"	"2008"	"2008"	"Methadone"	"T40.3"	36	5161831	0.70
	"Cook County, IL"	"17031"	"2009"	"2009"	"Heroin"	"T40.1"	13	5181728	Unreliable
	"Cook County, IL"	"17031"	"2009"	"2009"	"Other opioids"	"T40.2"	30	5181728	0.58
	"Cook County, IL"	"17031"	"2009"	"2009"	"Methadone"	"T40.3"	26	5181728	0.50
	"Cook County, IL"	"17031"	"2010"	"2010"	"Heroin"	"T40.1"	11	5194675	Unreliable
	"Cook County, IL"	"17031"	"2010"	"2010"	"Other opioids"	"T40.2"	28	5194675	0.54
	"Cook County, IL"	"17031"	"2010"	"2010"	"Methadone"	"T40.3"	32	5194675	0.62
	"Cook County, IL"	"17031"	"2011"	"2011"	"Other opioids"	"T40.2"	20	5217080	0.38
	"Cook County, IL"	"17031"	"2011"	"2011"	"Methadone"	"T40.3"	24	5217080	0.46
	"Cook County, IL"	"17031"	"2012"	"2012"	"Heroin"	"T40.1"	27	5231351	0.52
	"Cook County, IL"	"17031"	"2012"	"2012"	"Other opioids"	"T40.2"	44	5231351	0.84
	"Cook County, IL"	"17031"	"2012"	"2012"	"Methadone"	"T40.3"	33	5231351	0.63
	"Cook County, IL"	"17031"	"2013"	"2013"	"Heroin"	"T40.1"	301	5240700	5.74
	"Cook County, IL"	"17031"	"2013"	"2013"	"Other opioids"	"T40.2"	83	5240700	1.58
	"Cook County, IL"	"17031"	"2013"	"2013"	"Methadone"	"T40.3"	43	5240700	0.82
	"Cook County, IL"	"17031"	"2014"	"2014"	"Heroin"	"T40.1"	339	5246456	6.46
	"Cook County, IL"	"17031"	"2014"	"2014"	"Other opioids"	"T40.2"	66	5246456	1.26
	"Cook County, IL"	"17031"	"2014"	"2014"	"Methadone"	"T40.3"	37	5246456	0.71
	"Cook County, IL"	"17031"	"2015"	"2015"	"Heroin"	"T40.1"	368	5238216	7.03
	"Cook County, IL"	"17031"	"2015"	"2015"	"Other opioids"	"T40.2"	78	5238216	1.49
	"Cook County, IL"	"17031"	"2015"	"2015"	"Methadone"	"T40.3"	42	5238216	0.80
	"Cook County, IL"	"17031"	"2016"	"2016"	"Heroin"	"T40.1"	546	5203499	10.49
	"Cook County, IL"	"17031"	"2016"	"2016"	"Other opioids"	"T40.2"	134	5203499	2.58
	"Cook County, IL"	"17031"	"2016"	"2016"	"Methadone"	"T40.3"	57	5203499	1.10
	"Cook County, IL"	"17031"	"2017"	"2017"	"Heroin"	"T40.1"	682	5211263	13.09
	"Cook County, IL"	"17031"	"2017"	"2017"	"Other opioids"	"T40.2"	167	5211263	3.20
	"Cook County, IL"	"17031"	"2017"	"2017"	"Methadone"	"T40.3"	87	5211263	1.67
	"Lake County, IN"	"18089"	"2008"	"2008"	"Heroin"	"T40.1"	11	495479	Unreliable
	"Lake County, IN"	"18089"	"2009"	"2009"	"Heroin"	"T40.1"	11	495789	Unreliable
	"Lake County, IN"	"18089"	"2012"	"2012"	"Heroin"	"T40.1"	16	493618	Unreliable
	"Lake County, IN"	"18089"	"2013"	"2013"	"Heroin"	"T40.1"	29	491456	5.90
	"Lake County, IN"	"18089"	"2014"	"2014"	"Heroin"	"T40.1"	24	490228	4.90
	"Lake County, IN"	"18089"	"2015"	"2015"	"Heroin"	"T40.1"	23	487865	4.71
	"Lake County, IN"	"18089"	"2016"	"2016"	"Heroin"	"T40.1"	40	485846	8.23
	"Lake County, IN"	"18089"	"2017"	"2017"	"Heroin"	"T40.1"	44	485640	9.06
	"Lake County, IN"	"18089"	"2017"	"2017"	"Other opioids"	"T40.2"	43	485640	8.85
