County,State,FIPS Code,Weighted Ed Level,Opioid Prescribing Rate per 100
MONROE,AL,1099,190.5863416877443,123.4
LAWRENCE,AL,1079,187.49699591444366,98.8
LEE,AL,1081,260.0432958485795,58.5
MARION,AL,1093,201.76991150442478,162.1
PICKENS,AL,1107,196.26177491323747,70.1
SUMTER,AL,1119,216.52399877713236,36.4
JEFFERSON,AL,1073,250.76183544111848,104.2
CHOCTAW,AL,1023,195.80679405520172,92.2
FRANKLIN,AL,1059,182.8641254324436,181.3
MARENGO,AL,1091,201.91460264397512,127.2
RUSSELL,AL,1113,203.6645006839945,103.4
CHEROKEE,AL,1019,200.98626958035197,128.3
COVINGTON,AL,1039,206.50070630880356,143.1
CRENSHAW,AL,1041,195.57911438049905,81.1
DALLAS,AL,1047,196.8249294565084,102.6
LAUDERDALE,AL,1077,230.08964250999028,104.7
LOWNDES,AL,1085,188.6508396062536,0.4
MACON,AL,1087,230.71081723318525,44.6
LIMESTONE,AL,1083,223.23681771088934,68.3
SHELBY,AL,1117,270.1908289055725,89.6
SAINT CLAIR,AL,1115,207.1316010444345,105.0
WINSTON,AL,1133,195.16021361815754,155.1
BALDWIN,AL,1003,252.09972462627854,106.7
CULLMAN,AL,1043,205.40127045518526,141.1
ELMORE,AL,1051,225.49482028423614,109.4
HOUSTON,AL,1069,220.23379567372345,136.2
JACKSON,AL,1071,198.6813438825823,138.6
TALLADEGA,AL,1121,201.31539907031947,123.6
TUSCALOOSA,AL,1125,246.7337494619027,99.9
WASHINGTON,AL,1129,190.935148692225,52.4
CLAY,AL,1027,184.4409636756918,112.2
COFFEE,AL,1031,225.01517435827148,118.7
MORGAN,AL,1103,215.34110459309986,117.7
PIKE,AL,1109,234.01928680866405,98.9
CHILTON,AL,1021,192.82501997488868,107.0
COLBERT,AL,1033,218.08395333884448,186.0
COOSA,AL,1037,196.147877681424,24.3
DALE,AL,1045,214.16395035733808,69.6
HALE,AL,1065,192.33077692564189,98.7
ETOWAH,AL,1055,214.10716363495328,130.5
DE KALB,AL,1049,181.82852487569176,103.2
ESCAMBIA,AL,1053,189.93647165147127,154.9
LAMAR,AL,1075,194.36559446544467,75.4
RANDOLPH,AL,1111,197.46560142032845,95.0
BUTLER,AL,1013,199.74162774520522,118.6
MOBILE,AL,1097,222.27051997451295,118.4
CONECUH,AL,1035,178.14056447149974,84.9
PERRY,AL,1105,197.2520661157025,3.6
WALKER,AL,1127,193.88081999784373,216.1
CLEBURNE,AL,1029,183.6869937746837,48.1
GREENE,AL,1063,180.2414156803,53.9
BARBOUR,AL,1005,185.48910346933323,90.7
BIBB,AL,1007,196.4481842338352,80.6
BULLOCK,AL,1011,188.39473181904947,19.9
CALHOUN,AL,1015,215.99626061440182,138.2
CHAMBERS,AL,1017,199.39224074347248,127.0
CLARKE,AL,1025,192.048730964467,154.5
FAYETTE,AL,1057,199.43567269016026,114.3
MONTGOMERY,AL,1101,240.24700598802394,81.2
MARSHALL,AL,1095,200.21110853089573,163.9
BLOUNT,AL,1009,200.24797544522863,48.9
HENRY,AL,1067,211.85271770894212,26.7
MADISON,AL,1089,272.83282325395726,100.5
AUTAUGA,AL,1001,226.7424958209172,106.6
TALLAPOOSA,AL,1123,211.11983511630189,98.3
GENEVA,AL,1061,192.45446334487426,42.1
WILCOX,AL,1131,181.32612876637052,52.6
KODIAK ISLAND,AK,2150,219.24780367385463,28.9
VALDEZ CORDOVA,AK,2261,254.51848712787375,38.2
KENAI PENINSULA,AK,2122,238.97965873604664,83.0
SITKA,AK,2220,262.8717366628831,7.2
FAIRBANKS NORTH STAR,AK,2090,257.1762753546401,42.9
KETCHIKAN GATEWAY,AK,2130,238.34849036013094,77.4
MATANUSKA SUSITNA,AK,2170,216.33657981905378,69.3
JUNEAU,AK,2110,279.54307208484926,65.7
ANCHORAGE,AK,2020,253.9663006119541,59.4
PRINCE OF WALES HYDER,AK,2198,213.08512281785883,38.9
WRANGELL,AK,2275,232.6868686868687,0.2
PETERSBURG,AK,2195,232.3969465648855,63.0
PIMA,AZ,4019,253.17530679856281,65.4
MARICOPA,AZ,4013,240.1300348622224,59.2
GILA,AZ,4007,227.81446984664598,88.0
GRAHAM,AZ,4009,197.11671087533156,74.6
SANTA CRUZ,AZ,4023,191.3283575650373,21.9
COCHISE,AZ,4003,237.10439786272093,69.0
LA PAZ,AZ,4012,196.86477511354198,67.0
MOHAVE,AZ,4015,213.91170105182937,111.8
APACHE,AZ,4001,173.77307896427473,18.6
COCONINO,AZ,4005,259.804239788227,42.4
YAVAPAI,AZ,4025,261.6643737668121,87.2
YUMA,AZ,4027,180.43626181583213,48.5
GREENLEE,AZ,4011,192.7412467976089,0.0
NAVAJO,AZ,4017,191.81016107208393,66.0
PINAL,AZ,4021,213.1970695645527,50.1
WHITE,AR,5145,215.55281681193304,116.9
SAINT FRANCIS,AR,5123,188.36930455635488,89.2
PULASKI,AR,5119,251.52603551500835,98.3
CLAY,AR,5021,182.82422646477949,111.4
CROSS,AR,5037,185.8715917035656,101.9
DALLAS,AR,5039,198.03559657218193,77.6
DREW,AR,5043,210.82169709989256,120.8
COLUMBIA,AR,5027,220.77775925308435,101.5
RANDOLPH,AR,5121,200.46819687107455,106.0
SALINE,AR,5125,234.86563672022848,92.7
VAN BUREN,AR,5141,203.64754343024296,90.6
BOONE,AR,5009,212.4395356336666,141.2
IZARD,AR,5065,210.33947193254937,95.8
INDEPENDENCE,AR,5063,209.8309836374909,150.9
LINCOLN,AR,5079,183.98271516024485,59.6
LOGAN,AR,5083,193.9822034675718,37.9
GRANT,AR,5053,216.93958840451427,74.1
CRITTENDEN,AR,5035,191.02236292057307,105.5
FRANKLIN,AR,5047,187.1987867213391,19.3
FAULKNER,AR,5045,243.59921505252223,89.9
PIKE,AR,5109,205.44386303130452,87.5
JEFFERSON,AR,5069,209.03983299006626,103.8
MARION,AR,5089,224.9725174056431,78.1
MONTGOMERY,AR,5097,200.44154983993815,82.0
SCOTT,AR,5127,179.26114890400606,116.1
SEARCY,AR,5129,202.19558359621453,68.6
SEBASTIAN,AR,5131,207.56191014588342,153.1
CRAWFORD,AR,5033,199.18060496788422,141.4
BENTON,AR,5007,227.67142000532118,79.4
CHICOT,AR,5017,190.03452034883722,80.0
HOT SPRING,AR,5059,208.52150537634407,95.5
JOHNSON,AR,5071,186.62206079143567,101.2
LEE,AR,5077,176.18057000208034,67.5
MADISON,AR,5087,179.87678380587164,81.1
DESHA,AR,5041,176.0542417727799,129.4
FULTON,AR,5049,204.80482963943103,109.2
HOWARD,AR,5061,188.7247624703088,138.7
GARLAND,AR,5051,232.18768496030367,157.8
MISSISSIPPI,AR,5093,184.8968622226306,138.4
POPE,AR,5115,220.69368175219338,105.8
PRAIRIE,AR,5117,203.75496449632925,72.1
UNION,AR,5139,209.44230673129783,120.0
WOODRUFF,AR,5147,183.12878899896498,2.7
CLEBURNE,AR,5023,213.61933677694094,112.2
CLEVELAND,AR,5025,205.5688910225636,0.7
JACKSON,AR,5067,183.80859487061795,136.4
HEMPSTEAD,AR,5057,185.2848244109416,116.4
SHARP,AR,5135,195.7514230385541,124.4
STONE,AR,5137,200.7072249457526,154.1
WASHINGTON,AR,5143,233.27298006553917,91.9
GREENE,AR,5055,202.66760187343033,166.8
BAXTER,AR,5005,233.35847954639476,133.4
ASHLEY,AR,5003,194.84377256752202,108.1
CRAIGHEAD,AR,5031,229.77188573182667,141.5
LAFAYETTE,AR,5073,201.77279818465465,111.0
PERRY,AR,5105,200.69767441860466,27.5
YELL,AR,5149,179.6907550576362,57.4
PHILLIPS,AR,5107,180.80745978071525,156.5
POINSETT,AR,5111,178.97750850693004,112.5
