Total Pop,Total Male Pop,Male 18-24 <9th,Male 18-24 no diploma,Male 18-24 HS grad or equiv,"Male 18-24 Some college, no degree",Male 18-24 Associates,Male 18-24 Bachelors,Male 18-24 Grad or Professional,Total Female Pop,Female 18-24 <9th,Female 18-24 no diploma,Female 18-24 HS grad or equiv,"Female 18-24 Some college, no degree",Female 18-24 Associates,Female 18-24 Bachelors,Female 18-24 Grad or Professional,25+ no schooling,25+ nursery school,25+ Kindergarten,25+ 1st grade,25+ 2nd grade,25+ 3rd grade,25+ 4th grade,25+ 5th grade,25+ 6th grade,25+ 7th grade,25+ 8th grade,25+ 9th grade,25+ 10th grade,25+ 11th grade,25+ 12th grade no diploma,25+ high school diploma,25+ GED or equivalent,25+ some college <1 yr,25+ some college >1 yr no degree,25+ Associates Degree,25+ Bachelors Degree,25+ Masters Degree,25+ Professional Degree,25+ PhD,County Name,County Code,state
34933.0,27023.0,55.0,204.0,653.0,626.0,237.0,25.0,0.0,1783.0,37.0,151.0,416.0,919.0,189.0,71.0,0.0,698.0,0.0,0.0,88.0,267.0,311.0,583.0,356.0,999.0,738.0,604.0,1553.0,277.0,653.0,303.0,6371.0,262.0,542.0,2972.0,1837.0,3142.0,792.0,0.0,92.0,"Corozal Municipio, Puerto Rico",047,72
11297.0,8971.0,18.0,52.0,136.0,273.0,66.0,0.0,0.0,525.0,0.0,0.0,99.0,330.0,49.0,47.0,0.0,320.0,0.0,0.0,111.0,30.0,128.0,296.0,136.0,266.0,203.0,451.0,376.0,166.0,282.0,86.0,1874.0,161.0,37.0,935.0,690.0,1156.0,184.0,0.0,13.0,"Maunabo Municipio, Puerto Rico",095,72
21661.0,16383.0,56.0,103.0,290.0,541.0,78.0,36.0,0.0,1116.0,73.0,142.0,298.0,457.0,60.0,74.0,12.0,376.0,0.0,0.0,68.0,127.0,268.0,149.0,129.0,421.0,395.0,383.0,869.0,231.0,350.0,116.0,3991.0,297.0,224.0,1095.0,1712.0,2415.0,323.0,99.0,125.0,"Peñuelas Municipio, Puerto Rico",111,72
148863.0,116766.0,307.0,917.0,2504.0,3533.0,447.0,479.0,0.0,7409.0,40.0,271.0,2226.0,3566.0,448.0,746.0,112.0,2557.0,14.0,26.0,542.0,793.0,1526.0,1468.0,1237.0,2856.0,2051.0,2531.0,4003.0,1989.0,1611.0,881.0,28670.0,1974.0,1399.0,10273.0,8357.0,19156.0,4363.0,1179.0,1714.0,"Ponce Municipio, Puerto Rico",113,72
38970.0,30818.0,28.0,144.0,635.0,763.0,83.0,82.0,21.0,1681.0,30.0,98.0,301.0,1077.0,0.0,175.0,0.0,1251.0,18.0,22.0,344.0,471.0,819.0,842.0,667.0,1543.0,763.0,857.0,1162.0,349.0,532.0,170.0,6274.0,555.0,337.0,3116.0,2301.0,4135.0,666.0,116.0,71.0,"San Sebastián Municipio, Puerto Rico",131,72
74169.0,57066.0,82.0,231.0,1222.0,1753.0,410.0,204.0,0.0,3979.0,36.0,168.0,759.0,2313.0,231.0,448.0,24.0,971.0,0.0,8.0,145.0,304.0,631.0,660.0,382.0,985.0,912.0,883.0,1744.0,913.0,756.0,323.0,11708.0,900.0,565.0,6223.0,5036.0,11794.0,2393.0,545.0,404.0,"Toa Alta Municipio, Puerto Rico",135,72
81905.0,64317.0,127.0,483.0,1513.0,1510.0,138.0,241.0,14.0,4019.0,18.0,387.0,1153.0,1890.0,168.0,364.0,39.0,1375.0,9.0,0.0,182.0,342.0,732.0,812.0,439.0,999.0,820.0,1048.0,2013.0,1161.0,1293.0,594.0,14218.0,1491.0,1179.0,8090.0,5819.0,10258.0,2514.0,545.0,339.0,"Toa Baja Municipio, Puerto Rico",137,72
8931.0,7051.0,0.0,0.0,306.0,0.0,9.0,62.0,0.0,377.0,0.0,53.0,81.0,113.0,8.0,122.0,0.0,126.0,0.0,0.0,20.0,57.0,104.0,48.0,114.0,184.0,55.0,247.0,254.0,121.0,263.0,51.0,2111.0,59.0,18.0,461.0,564.0,985.0,219.0,18.0,218.0,"Vieques Municipio, Puerto Rico",147,72
35025.0,27598.0,49.0,87.0,333.0,914.0,229.0,75.0,0.0,1750.0,32.0,262.0,219.0,902.0,160.0,175.0,0.0,806.0,47.0,0.0,123.0,273.0,455.0,604.0,451.0,1108.0,659.0,891.0,1389.0,385.0,390.0,139.0,5125.0,885.0,201.0,3210.0,2870.0,3275.0,797.0,19.0,59.0,"Yabucoa Municipio, Puerto Rico",151,72
39470.0,31582.0,49.0,225.0,404.0,714.0,311.0,237.0,31.0,1922.0,69.0,95.0,254.0,709.0,474.0,321.0,0.0,871.0,31.0,0.0,125.0,289.0,582.0,886.0,669.0,1367.0,743.0,969.0,1480.0,519.0,767.0,185.0,5454.0,906.0,348.0,2501.0,3662.0,3718.0,1111.0,174.0,332.0,"Aguada Municipio, Puerto Rico",003,72
134269.0,106062.0,181.0,398.0,2487.0,2809.0,431.0,206.0,13.0,6535.0,98.0,351.0,1631.0,3097.0,558.0,770.0,30.0,2009.0,0.0,0.0,195.0,547.0,945.0,1437.0,1063.0,2197.0,1211.0,2021.0,3210.0,1457.0,1566.0,603.0,21490.0,3471.0,1740.0,10448.0,9693.0,19608.0,5697.0,888.0,1506.0,"Caguas Municipio, Puerto Rico",025,72
46779.0,36074.0,64.0,282.0,796.0,1102.0,159.0,155.0,0.0,2159.0,48.0,48.0,655.0,1156.0,135.0,83.0,34.0,1072.0,0.0,11.0,171.0,264.0,378.0,631.0,370.0,875.0,629.0,1059.0,1491.0,629.0,698.0,124.0,8325.0,1650.0,413.0,2645.0,3260.0,4948.0,1473.0,111.0,130.0,"Canóvanas Municipio, Puerto Rico",029,72
41181.0,32224.0,18.0,139.0,960.0,700.0,143.0,124.0,0.0,2015.0,24.0,113.0,469.0,937.0,139.0,333.0,0.0,816.0,0.0,0.0,123.0,337.0,466.0,522.0,381.0,1009.0,406.0,630.0,1273.0,323.0,564.0,96.0,7407.0,1263.0,330.0,3143.0,2629.0,4571.0,1441.0,242.0,153.0,"Cidra Municipio, Puerto Rico",041,72
39796.0,30958.0,27.0,112.0,872.0,656.0,132.0,22.0,0.0,1706.0,51.0,123.0,496.0,716.0,166.0,154.0,0.0,836.0,0.0,5.0,97.0,261.0,167.0,585.0,426.0,789.0,645.0,627.0,1248.0,381.0,726.0,252.0,9315.0,281.0,186.0,2974.0,2054.0,4183.0,1098.0,37.0,258.0,"Coamo Municipio, Puerto Rico",043,72
37722.0,28863.0,30.0,281.0,771.0,461.0,83.0,69.0,0.0,1709.0,7.0,95.0,448.0,786.0,229.0,144.0,0.0,480.0,0.0,0.0,103.0,130.0,304.0,259.0,334.0,656.0,200.0,759.0,1329.0,273.0,390.0,367.0,6191.0,407.0,468.0,2622.0,2291.0,5752.0,1413.0,403.0,328.0,"Dorado Municipio, Puerto Rico",051,72
18952.0,14871.0,14.0,102.0,375.0,329.0,81.0,56.0,0.0,967.0,0.0,105.0,309.0,432.0,75.0,46.0,0.0,235.0,0.0,0.0,34.0,119.0,232.0,197.0,211.0,336.0,389.0,274.0,578.0,194.0,295.0,166.0,3700.0,547.0,242.0,1449.0,1276.0,1866.0,518.0,42.0,47.0,"Luquillo Municipio, Puerto Rico",089,72
29237.0,22203.0,5.0,120.0,770.0,546.0,205.0,82.0,0.0,1623.0,10.0,76.0,504.0,655.0,180.0,198.0,0.0,627.0,0.0,0.0,229.0,134.0,359.0,346.0,267.0,553.0,400.0,560.0,933.0,300.0,629.0,301.0,5825.0,435.0,448.0,1973.0,1292.0,2424.0,782.0,10.0,25.0,"Barranquitas Municipio, Puerto Rico",019,72
21906.0,16882.0,55.0,150.0,488.0,468.0,58.0,46.0,0.0,1165.0,60.0,145.0,406.0,450.0,67.0,37.0,0.0,703.0,0.0,27.0,47.0,113.0,223.0,313.0,451.0,705.0,380.0,484.0,819.0,308.0,482.0,87.0,4423.0,493.0,186.0,1031.0,870.0,1879.0,418.0,8.0,2.0,"Orocovis Municipio, Puerto Rico",107,72
38689.0,30647.0,135.0,72.0,606.0,690.0,352.0,38.0,0.0,1908.0,54.0,22.0,491.0,809.0,323.0,209.0,0.0,848.0,0.0,0.0,203.0,389.0,418.0,636.0,593.0,1261.0,508.0,754.0,1062.0,452.0,649.0,126.0,6393.0,647.0,285.0,3340.0,2801.0,4133.0,1197.0,128.0,23.0,"San Lorenzo Municipio, Puerto Rico",129,72
27892.0,22235.0,35.0,210.0,334.0,584.0,146.0,103.0,0.0,1309.0,65.0,133.0,280.0,392.0,384.0,55.0,0.0,494.0,0.0,0.0,113.0,152.0,628.0,440.0,444.0,1086.0,394.0,622.0,929.0,291.0,618.0,85.0,5271.0,827.0,240.0,1792.0,1987.0,2450.0,500.0,10.0,141.0,"Añasco Municipio, Puerto Rico",011,72
12238.0,9693.0,26.0,26.0,319.0,196.0,35.0,16.0,0.0,596.0,0.0,14.0,189.0,261.0,84.0,48.0,0.0,200.0,0.0,0.0,34.0,68.0,120.0,251.0,68.0,156.0,128.0,381.0,406.0,99.0,314.0,105.0,2598.0,104.0,104.0,1176.0,665.0,1116.0,363.0,6.0,17.0,"Ceiba Municipio, Puerto Rico",037,72
17325.0,13537.0,51.0,185.0,203.0,291.0,109.0,0.0,0.0,850.0,20.0,74.0,14.0,536.0,155.0,51.0,0.0,273.0,10.0,16.0,50.0,112.0,401.0,194.0,237.0,707.0,282.0,355.0,628.0,263.0,251.0,84.0,3349.0,420.0,180.0,1069.0,1277.0,1490.0,143.0,23.0,34.0,"Ciales Municipio, Puerto Rico",039,72
