Year,County,State,FIPS County Code,Opioid Prescribing Rate per 100
2008,"Aleutians East, AK",AK,2013,–
2008,"Aleutians West, AK",AK,2016,–
2008,"Anchorage, AK",AK,2020,75.6
2008,"Bethel, AK",AK,2050,–
2008,"Bristol Bay, AK",AK,2060,–
2008,"Denali, AK",AK,2068,–
2008,"Dillingham, AK",AK,2070,–
2008,"Fairbanks North Star, AK",AK,2090,58.5
2008,"Haines, AK",AK,2100,–
2008,"Hoonah-Angoon, AK",AK,2105,–
2008,"Juneau, AK",AK,2110,99
2008,"Kenai Peninsula, AK",AK,2122,101.4
2008,"Ketchikan Gateway, AK",AK,2130,136.7
2008,"Kodiak Island, AK",AK,2150,82.2
2008,"Lake and Peninsula, AK",AK,2164,–
2008,"Matanuska-Susitna, AK",AK,2170,93.5
2008,"Nome, AK",AK,2180,–
2008,"North Slope, AK",AK,2185,–
2008,"Northwest Arctic, AK",AK,2188,–
2008,"Petersburg, AK",AK,2195,62
2008,"Prince of Wales-Hyder, AK",AK,2198,–
2008,"Sitka, AK",AK,2220,–
2008,"Skagway, AK",AK,2230,–
2008,"Southeast Fairbanks, AK",AK,2240,–
2008,"Valdez-Cordova, AK",AK,2261,62.5
2008,"Wade Hampton, AK",AK,2270,–
2008,"Wrangell, AK",AK,2275,54.5
2008,"Yakutat, AK",AK,2282,–
2008,"Yukon-Koyukuk, AK",AK,2290,–
2008,"Autauga, AL",AL,1001,144.9
2008,"Baldwin, AL",AL,1003,138.3
2008,"Barbour, AL",AL,1005,79.6
2008,"Bibb, AL",AL,1007,119.6
2008,"Blount, AL",AL,1009,58.2
2008,"Bullock, AL",AL,1011,41.1
2008,"Butler, AL",AL,1013,104.5
2008,"Calhoun, AL",AL,1015,174.4
2008,"Chambers, AL",AL,1017,134.9
2008,"Cherokee, AL",AL,1019,146.3
2008,"Chilton, AL",AL,1021,115.2
2008,"Choctaw, AL",AL,1023,106
2008,"Clarke, AL",AL,1025,132.7
2008,"Clay, AL",AL,1027,128
2008,"Cleburne, AL",AL,1029,27.6
2008,"Coffee, AL",AL,1031,117.7
2008,"Colbert, AL",AL,1033,211.5
2008,"Conecuh, AL",AL,1035,168.9
2008,"Coosa, AL",AL,1037,45.4
2008,"Covington, AL",AL,1039,200.3
2008,"Crenshaw, AL",AL,1041,107.9
2008,"Cullman, AL",AL,1043,155.2
2008,"Dale, AL",AL,1045,62.9
2008,"Dallas, AL",AL,1047,92.1
2008,"DeKalb, AL",AL,1049,55.5
2008,"Elmore, AL",AL,1051,103.8
2008,"Escambia, AL",AL,1053,115.9
2008,"Etowah, AL",AL,1055,145.6
2008,"Fayette, AL",AL,1057,67.8
2008,"Franklin, AL",AL,1059,170.9
2008,"Geneva, AL",AL,1061,23.9
2008,"Greene, AL",AL,1063,54.4
2008,"Hale, AL",AL,1065,63.8
2008,"Henry, AL",AL,1067,31.4
2008,"Houston, AL",AL,1069,171.7
2008,"Jackson, AL",AL,1071,106.8
2008,"Jefferson, AL",AL,1073,128.3
2008,"Lamar, AL",AL,1075,53.1
2008,"Lauderdale, AL",AL,1077,144
2008,"Lawrence, AL",AL,1079,63.6
2008,"Lee, AL",AL,1081,72.8
2008,"Limestone, AL",AL,1083,69.8
2008,"Lowndes, AL",AL,1085,8.6
2008,"Macon, AL",AL,1087,53
2008,"Madison, AL",AL,1089,127.5
2008,"Marengo, AL",AL,1091,125
2008,"Marion, AL",AL,1093,230.7
2008,"Marshall, AL",AL,1095,202
2008,"Mobile, AL",AL,1097,145.7
2008,"Monroe, AL",AL,1099,135
2008,"Montgomery, AL",AL,1101,110.3
2008,"Morgan, AL",AL,1103,159
2008,"Perry, AL",AL,1105,–
2008,"Pickens, AL",AL,1107,125.5
2008,"Pike, AL",AL,1109,109.6
2008,"Randolph, AL",AL,1111,59.6
2008,"Russell, AL",AL,1113,150.1
2008,"St. Clair, AL",AL,1115,85.2
2008,"Shelby, AL",AL,1117,116.1
2008,"Sumter, AL",AL,1119,44
2008,"Talladega, AL",AL,1121,129
2008,"Tallapoosa, AL",AL,1123,89.6
2008,"Tuscaloosa, AL",AL,1125,112
2008,"Walker, AL",AL,1127,312.4
2008,"Washington, AL",AL,1129,37.4
2008,"Wilcox, AL",AL,1131,48.4
2008,"Winston, AL",AL,1133,131.2
2008,"Arkansas, AR",AR,5001,73.5
2008,"Ashley, AR",AR,5003,87.4
2008,"Baxter, AR",AR,5005,163.7
2008,"Benton, AR",AR,5007,93.2
2008,"Boone, AR",AR,5009,153.5
2008,"Bradley, AR",AR,5011,141.7
2008,"Calhoun, AR",AR,5013,92.2
2008,"Carroll, AR",AR,5015,57.9
2008,"Chicot, AR",AR,5017,–
2008,"Clark, AR",AR,5019,82.3
2008,"Clay, AR",AR,5021,52.2
2008,"Cleburne, AR",AR,5023,124.3
2008,"Cleveland, AR",AR,5025,–
2008,"Columbia, AR",AR,5027,115.8
2008,"Conway, AR",AR,5029,69.3
2008,"Craighead, AR",AR,5031,170.5
2008,"Crawford, AR",AR,5033,117.6
2008,"Crittenden, AR",AR,5035,97.7
2008,"Cross, AR",AR,5037,101.5
2008,"Dallas, AR",AR,5039,95.9
2008,"Desha, AR",AR,5041,131.8
2008,"Drew, AR",AR,5043,123.8
2008,"Faulkner, AR",AR,5045,104.1
2008,"Franklin, AR",AR,5047,54
2008,"Fulton, AR",AR,5049,52.9
2008,"Garland, AR",AR,5051,196.3
2008,"Grant, AR",AR,5053,30.3
2008,"Greene, AR",AR,5055,204.2
2008,"Hempstead, AR",AR,5057,121.8
2008,"Hot Spring, AR",AR,5059,114.6
2008,"Howard, AR",AR,5061,149.2
2008,"Independence, AR",AR,5063,178.5
2008,"Izard, AR",AR,5065,132.8
2008,"Jackson, AR",AR,5067,166.7
2008,"Jefferson, AR",AR,5069,85.6
2008,"Johnson, AR",AR,5071,31.1
2008,"Lafayette, AR",AR,5073,–
2008,"Lawrence, AR",AR,5075,34.1
2008,"Lee, AR",AR,5077,–
2008,"Lincoln, AR",AR,5079,30.6
2008,"Little River, AR",AR,5081,68.2
2008,"Logan, AR",AR,5083,51.4
2008,"Lonoke, AR",AR,5085,100.6
2008,"Madison, AR",AR,5087,27.7
2008,"Marion, AR",AR,5089,50.5
2008,"Miller, AR",AR,5091,61.7
2008,"Mississippi, AR",AR,5093,118.3
2008,"Monroe, AR",AR,5095,53.1
2008,"Montgomery, AR",AR,5097,87.3
2008,"Nevada, AR",AR,5099,–
2008,"Newton, AR",AR,5101,66.6
2008,"Ouachita, AR",AR,5103,109.2
2008,"Perry, AR",AR,5105,82.5
2008,"Phillips, AR",AR,5107,182.1
2008,"Pike, AR",AR,5109,–
2008,"Poinsett, AR",AR,5111,67.9
2008,"Polk, AR",AR,5113,125.9
2008,"Pope, AR",AR,5115,156.6
2008,"Prairie, AR",AR,5117,109.3
2008,"Pulaski, AR",AR,5119,111.1
2008,"Randolph, AR",AR,5121,84.4
2008,"St. Francis, AR",AR,5123,89.9
2008,"Saline, AR",AR,5125,103.1
2008,"Scott, AR",AR,5127,166.4
2008,"Searcy, AR",AR,5129,92.4
2008,"Sebastian, AR",AR,5131,203
2008,"Sevier, AR",AR,5133,33
2008,"Sharp, AR",AR,5135,114.9
2008,"Stone, AR",AR,5137,85.6
2008,"Union, AR",AR,5139,136.5
2008,"Van Buren, AR",AR,5141,67.7
2008,"Washington, AR",AR,5143,109
2008,"White, AR",AR,5145,126.5
2008,"Woodruff, AR",AR,5147,13.8
2008,"Yell, AR",AR,5149,28.8
2008,"Apache, AZ",AZ,4001,9.6
2008,"Cochise, AZ",AZ,4003,81.5
2008,"Coconino, AZ",AZ,4005,56.1
2008,"Gila, AZ",AZ,4007,130.3
2008,"Graham, AZ",AZ,4009,129
2008,"Greenlee, AZ",AZ,4011,–
2008,"La Paz, AZ",AZ,4012,68.8
2008,"Maricopa, AZ",AZ,4013,78.7
2008,"Mohave, AZ",AZ,4015,132
2008,"Navajo, AZ",AZ,4017,76.2
2008,"Pima, AZ",AZ,4019,90.5
2008,"Pinal, AZ",AZ,4021,64.6
2008,"Santa Cruz, AZ",AZ,4023,36.2
2008,"Yavapai, AZ",AZ,4025,100.2
2008,"Yuma, AZ",AZ,4027,67.2
2008,"Alameda, CA",CA,6001,42.6
2008,"Alpine, CA",CA,6003,–
2008,"Amador, CA",CA,6005,126.4
2008,"Butte, CA",CA,6007,157.2
2008,"Calaveras, CA",CA,6009,95.3
2008,"Colusa, CA",CA,6011,36.3
2008,"Contra Costa, CA",CA,6013,57.2
2008,"Del Norte, CA",CA,6015,141.9
2008,"El Dorado, CA",CA,6017,84.2
2008,"Fresno, CA",CA,6019,67.7
2008,"Glenn, CA",CA,6021,98
2008,"Humboldt, CA",CA,6023,134.9
2008,"Imperial, CA",CA,6025,49.9
2008,"Inyo, CA",CA,6027,67.1
2008,"Kern, CA",CA,6029,67.2
2008,"Kings, CA",CA,6031,73
2008,"Lake, CA",CA,6033,167.3
2008,"Lassen, CA",CA,6035,95.3
2008,"Los Angeles, CA",CA,6037,41.6
2008,"Madera, CA",CA,6039,54.8
2008,"Marin, CA",CA,6041,58
2008,"Mariposa, CA",CA,6043,46.7
2008,"Mendocino, CA",CA,6045,128.6
2008,"Merced, CA",CA,6047,65.6
2008,"Modoc, CA",CA,6049,160.1
2008,"Mono, CA",CA,6051,56.3
2008,"Monterey, CA",CA,6053,68.8
2008,"Napa, CA",CA,6055,41.1
2008,"Nevada, CA",CA,6057,104.8
2008,"Orange, CA",CA,6059,51.4
2008,"Placer, CA",CA,6061,75.3
2008,"Plumas, CA",CA,6063,119.9
