Year,County,State,FIPS County Code,Opioid Prescribing Rater per 100
2011,"Aleutians East, AK",AK,2013,?
2011,"Aleutians West, AK",AK,2016,?
2011,"Anchorage, AK",AK,2020,75.4
2011,"Bethel, AK",AK,2050,?
2011,"Bristol Bay, AK",AK,2060,?
2011,"Denali, AK",AK,2068,?
2011,"Dillingham, AK",AK,2070,?
2011,"Fairbanks North Star, AK",AK,2090,58
2011,"Haines, AK",AK,2100,?
2011,"Hoonah-Angoon, AK",AK,2105,?
2011,"Juneau, AK",AK,2110,91.3
2011,"Kenai Peninsula, AK",AK,2122,102.6
2011,"Ketchikan Gateway, AK",AK,2130,138.2
2011,"Kodiak Island, AK",AK,2150,50.2
2011,"Lake and Peninsula, AK",AK,2164,?
2011,"Matanuska-Susitna, AK",AK,2170,97.1
2011,"Nome, AK",AK,2180,?
2011,"North Slope, AK",AK,2185,?
2011,"Northwest Arctic, AK",AK,2188,?
2011,"Petersburg, AK",AK,2195,94.5
2011,"Prince of Wales-Hyder, AK",AK,2198,?
2011,"Sitka, AK",AK,2220,?
2011,"Skagway, AK",AK,2230,?
2011,"Southeast Fairbanks, AK",AK,2240,?
2011,"Valdez-Cordova, AK",AK,2261,56.6
2011,"Wade Hampton, AK",AK,2270,?
2011,"Wrangell, AK",AK,2275,?
2011,"Yakutat, AK",AK,2282,?
2011,"Yukon-Koyukuk, AK",AK,2290,?
2011,"Autauga, AL",AL,1001,144.1
2011,"Baldwin, AL",AL,1003,150
2011,"Barbour, AL",AL,1005,99.4
2011,"Bibb, AL",AL,1007,57.7
2011,"Blount, AL",AL,1009,64.8
2011,"Bullock, AL",AL,1011,41
2011,"Butler, AL",AL,1013,135.8
2011,"Calhoun, AL",AL,1015,176.7
2011,"Chambers, AL",AL,1017,152.5
2011,"Cherokee, AL",AL,1019,159.7
2011,"Chilton, AL",AL,1021,120.7
2011,"Choctaw, AL",AL,1023,115.3
2011,"Clarke, AL",AL,1025,171.9
2011,"Clay, AL",AL,1027,130.3
2011,"Cleburne, AL",AL,1029,26.1
2011,"Coffee, AL",AL,1031,152.6
2011,"Colbert, AL",AL,1033,208.7
2011,"Conecuh, AL",AL,1035,170.7
2011,"Coosa, AL",AL,1037,52
2011,"Covington, AL",AL,1039,178
2011,"Crenshaw, AL",AL,1041,113.7
2011,"Cullman, AL",AL,1043,180.6
2011,"Dale, AL",AL,1045,75.1
2011,"Dallas, AL",AL,1047,122.5
2011,"DeKalb, AL",AL,1049,100.6
2011,"Elmore, AL",AL,1051,129.9
2011,"Escambia, AL",AL,1053,149
2011,"Etowah, AL",AL,1055,158.2
2011,"Fayette, AL",AL,1057,48.9
2011,"Franklin, AL",AL,1059,223.2
2011,"Geneva, AL",AL,1061,31.7
2011,"Greene, AL",AL,1063,46.5
2011,"Hale, AL",AL,1065,92.6
2011,"Henry, AL",AL,1067,35
2011,"Houston, AL",AL,1069,192.8
2011,"Jackson, AL",AL,1071,125.1
2011,"Jefferson, AL",AL,1073,139.9
2011,"Lamar, AL",AL,1075,46.9
2011,"Lauderdale, AL",AL,1077,146.3
2011,"Lawrence, AL",AL,1079,87.3
2011,"Lee, AL",AL,1081,78
2011,"Limestone, AL",AL,1083,71.6
2011,"Lowndes, AL",AL,1085,16.2
2011,"Macon, AL",AL,1087,53.3
2011,"Madison, AL",AL,1089,132.9
2011,"Marengo, AL",AL,1091,132.6
2011,"Marion, AL",AL,1093,224.8
2011,"Marshall, AL",AL,1095,224.7
2011,"Mobile, AL",AL,1097,152.8
2011,"Monroe, AL",AL,1099,122.7
2011,"Montgomery, AL",AL,1101,105.7
2011,"Morgan, AL",AL,1103,156.5
2011,"Perry, AL",AL,1105,?
