STCOUNTYFP,County,Deaths,Population,Crude Rate,% of Total Deaths
1003,"Baldwin County, AL",19,212628,Unreliable,0.00%
1043,"Cullman County, AL",12,82755,Unreliable,0.00%
1049,"DeKalb County, AL",11,71617,Unreliable,0.00%
1055,"Etowah County, AL",26,102755,25.3,0.10%
1073,"Jefferson County, AL",167,659197,25.3,0.40%
1089,"Madison County, AL",16,361046,Unreliable,0.00%
1097,"Mobile County, AL",13,413955,Unreliable,0.00%
1115,"St. Clair County, AL",15,88199,Unreliable,0.00%
1117,"Shelby County, AL",27,213605,12.6,0.10%
1125,"Tuscaloosa County, AL",14,207811,Unreliable,0.00%
2020,"Anchorage Borough, AK",49,294356,16.6,0.10%
2110,"Juneau Borough, AK",11,32094,Unreliable,0.00%
2170,"Matanuska-Susitna Borough, AK",20,106532,18.8,0.00%
4003,"Cochise County, AZ",17,124756,Unreliable,0.00%
4013,"Maricopa County, AZ",631,4307033,14.7,1.30%
4019,"Pima County, AZ",174,1022769,17,0.40%
4021,"Pinal County, AZ",34,430237,7.9,0.10%
4025,"Yavapai County, AZ",22,228168,9.6,0.00%
5007,"Benton County, AR",14,266300,Unreliable,0.00%
5051,"Garland County, AR",17,98658,Unreliable,0.00%
5119,"Pulaski County, AR",31,393956,7.9,0.10%
5125,"Saline County, AR",12,119323,Unreliable,0.00%
6001,"Alameda County, CA",35,1663190,2.1,0.10%
6007,"Butte County, CA",16,229294,Unreliable,0.00%
6013,"Contra Costa County, CA",53,1147439,4.6,0.10%
6019,"Fresno County, CA",41,989255,4.1,0.10%
6023,"Humboldt County, CA",27,136754,19.7,0.10%
6029,"Kern County, CA",82,893119,9.2,0.20%
6033,"Lake County, CA",16,64246,Unreliable,0.00%
6037,"Los Angeles County, CA",464,10163507,4.6,1.00%
6041,"Marin County, CA",15,260955,Unreliable,0.00%
6045,"Mendocino County, CA",19,88018,Unreliable,0.00%
6047,"Merced County, CA",14,272673,Unreliable,0.00%
6059,"Orange County, CA",258,3190400,8.1,0.50%
6061,"Placer County, CA",18,386166,Unreliable,0.00%
6065,"Riverside County, CA",134,2423266,5.5,0.30%
6067,"Sacramento County, CA",59,1530615,3.9,0.10%
6071,"San Bernardino County, CA",56,2157404,2.6,0.10%
6073,"San Diego County, CA",283,3337685,8.5,0.60%
6075,"San Francisco County, CA",102,884363,11.5,0.20%
6077,"San Joaquin County, CA",75,745424,10.1,0.20%
6079,"San Luis Obispo County, CA",15,283405,Unreliable,0.00%
6081,"San Mateo County, CA",41,771410,5.3,0.10%
6083,"Santa Barbara County, CA",27,448150,6,0.10%
6085,"Santa Clara County, CA",67,1938153,3.5,0.10%
6087,"Santa Cruz County, CA",19,275897,Unreliable,0.00%
6089,"Shasta County, CA",28,179921,15.6,0.10%
6095,"Solano County, CA",10,445458,Unreliable,0.00%
6097,"Sonoma County, CA",32,504217,6.3,0.10%
6099,"Stanislaus County, CA",17,547899,Unreliable,0.00%
6111,"Ventura County, CA",88,854223,10.3,0.20%
8001,"Adams County, CO",77,503167,15.3,0.20%
8005,"Arapahoe County, CO",52,643052,8.1,0.10%
8013,"Boulder County, CO",24,322514,7.4,0.10%
8031,"Denver County, CO",99,704621,14.1,0.20%
8041,"El Paso County, CO",112,699232,16,0.20%
8059,"Jefferson County, CO",34,574613,5.9,0.10%
8069,"Larimer County, CO",28,343976,8.1,0.10%
8077,"Mesa County, CO",33,151616,21.8,0.10%
8101,"Pueblo County, CO",29,166475,17.4,0.10%
8123,"Weld County, CO",13,304633,Unreliable,0.00%
9001,"Fairfield County, CT",155,949921,16.3,0.30%
9003,"Hartford County, CT",284,895388,31.7,0.60%
9005,"Litchfield County, CT",52,182177,28.5,0.10%
9007,"Middlesex County, CT",42,163410,25.7,0.10%
9009,"New Haven County, CT",262,860435,30.4,0.60%
9011,"New London County, CT",83,269033,30.9,0.20%
9013,"Tolland County, CT",41,151461,27.1,0.10%
9015,"Windham County, CT",42,116359,36.1,0.10%
10001,"Kent County, DE",31,176824,17.5,0.10%
10003,"New Castle County, DE",163,559793,29.1,0.30%
10005,"Sussex County, DE",47,225322,20.9,0.10%
11001,"District of Columbia, DC",240,693972,34.6,0.50%
12001,"Alachua County, FL",12,266944,Unreliable,0.00%
12005,"Bay County, FL",22,183563,12,0.00%
12009,"Brevard County, FL",72,589162,12.2,0.20%
12011,"Broward County, FL",285,1935878,14.7,0.60%
12017,"Citrus County, FL",25,145647,17.2,0.10%
12019,"Clay County, FL",50,212230,23.6,0.10%
12021,"Collier County, FL",55,372880,14.8,0.10%
12023,"Columbia County, FL",11,69612,Unreliable,0.00%
12031,"Duval County, FL",377,937934,40.2,0.80%
12033,"Escambia County, FL",33,313512,10.5,0.10%
12035,"Flagler County, FL",15,110510,Unreliable,0.00%
12053,"Hernando County, FL",20,186553,10.7,0.00%
12057,"Hillsborough County, FL",178,1408566,12.6,0.40%
12069,"Lake County, FL",49,346017,14.2,0.10%
12071,"Lee County, FL",185,739224,25,0.40%
12073,"Leon County, FL",18,290292,Unreliable,0.00%
12081,"Manatee County, FL",106,385571,27.5,0.20%
12083,"Marion County, FL",70,354353,19.8,0.10%
12085,"Martin County, FL",23,159923,14.4,0.00%
12086,"Miami-Dade County, FL",246,2751796,8.9,0.50%
12087,"Monroe County, FL",15,77013,Unreliable,0.00%
12089,"Nassau County, FL",21,82721,25.4,0.00%
12091,"Okaloosa County, FL",27,202970,13.3,0.10%
12095,"Orange County, FL",180,1348975,13.3,0.40%
12097,"Osceola County, FL",56,352180,15.9,0.10%
12099,"Palm Beach County, FL",384,1471150,26.1,0.80%
12101,"Pasco County, FL",68,525643,12.9,0.10%
12103,"Pinellas County, FL",105,970637,10.8,0.20%
12105,"Polk County, FL",43,686483,6.3,0.10%
12109,"St. Johns County, FL",33,243812,13.5,0.10%
12111,"St. Lucie County, FL",38,313506,12.1,0.10%
12113,"Santa Rosa County, FL",20,174272,11.5,0.00%
12115,"Sarasota County, FL",91,419119,21.7,0.20%
12117,"Seminole County, FL",97,462659,21,0.20%
12127,"Volusia County, FL",122,538692,22.6,0.30%
13015,"Bartow County, GA",17,105054,Unreliable,0.00%
13021,"Bibb County, GA",12,152862,Unreliable,0.00%
13045,"Carroll County, GA",23,117812,19.5,0.00%
13047,"Catoosa County, GA",11,66550,Unreliable,0.00%
13051,"Chatham County, GA",27,290501,9.3,0.10%
13057,"Cherokee County, GA",35,247573,14.1,0.10%
13063,"Clayton County, GA",21,285153,7.4,0.00%
13067,"Cobb County, GA",119,755754,15.7,0.30%
13073,"Columbia County, GA",20,151579,13.2,0.00%
13077,"Coweta County, GA",18,143114,Unreliable,0.00%
13089,"DeKalb County, GA",48,753253,6.4,0.10%
13097,"Douglas County, GA",20,143882,13.9,0.00%
13117,"Forsyth County, GA",22,227967,9.7,0.00%
13121,"Fulton County, GA",104,1041423,10,0.20%
13135,"Gwinnett County, GA",77,920260,8.4,0.20%
13139,"Hall County, GA",24,199335,12,0.10%
13151,"Henry County, GA",20,225813,8.9,0.00%
13157,"Jackson County, GA",10,67519,Unreliable,0.00%
13215,"Muscogee County, GA",14,194058,Unreliable,0.00%
13217,"Newton County, GA",10,108078,Unreliable,0.00%
13223,"Paulding County, GA",21,159445,13.2,0.00%
13245,"Richmond County, GA",31,201800,15.4,0.10%
13297,"Walton County, GA",10,91600,Unreliable,0.00%
13313,"Whitfield County, GA",11,104658,Unreliable,0.00%
15003,"Honolulu County, HI",34,988650,3.4,0.10%
15009,"Maui County, HI",11,166260,Unreliable,0.00%
16001,"Ada County, ID",35,456849,7.7,0.10%
16005,"Bannock County, ID",19,85269,Unreliable,0.00%
17007,"Boone County, IL",12,53513,Unreliable,0.00%
17019,"Champaign County, IL",28,209399,13.4,0.10%
