Zipcode,state_id,county_fips,county_name
951,PR,72137,Toa Baja
96863,HI,15003,Honolulu
34141,FL,12021,Collier
78060,TX,48297,Live Oak
78144,TX,48255,Karnes
78150,TX,48029,Bexar
32026,FL,12007,Bradford
70801,LA,22033,East Baton Rouge
76874,TX,48267,Kimble
32509,FL,12033,Escambia
76685,TX,48145,Falls
76836,TX,48307,McCulloch
85608,AZ,4003,Cochise
76597,TX,48099,Coryell
79920,TX,48141,El Paso
88004,NM,35013,Do??a Ana
76061,TX,48251,Johnson
88055,NM,35017,Grant
75562,TX,48067,Cass
38704,MS,28055,Issaquena
88262,NM,35025,Lea
35013,AL,1009,Blount
29899,SC,45065,McCormick
92280,CA,6071,San Bernardino
71998,AR,5019,Clark
92304,CA,6071,San Bernardino
86313,AZ,4025,Yavapai
92332,CA,6071,San Bernardino
86038,AZ,4005,Coconino
86003,AZ,4005,Coconino
93519,CA,6029,Kern
88421,NM,35047,San Miguel
87573,NM,35047,San Miguel
72467,AR,5031,Craighead
87735,NM,35033,Mora
40964,KY,21095,Harlan
64858,MO,29145,Newton
40816,KY,21131,Leslie
23891,VA,51183,Sussex
41849,KY,21133,Letcher
41760,KY,21193,Perry
24131,VA,51045,Craig
25203,WV,54005,Boone
22509,VA,51057,Essex
25002,WV,54019,Fayette
21890,MD,24039,Somerset
40604,KY,21073,Franklin
63047,MO,29099,Jefferson
95226,CA,6009,Calaveras
25185,WV,54019,Fayette
81232,CO,8043,Fremont
63057,MO,29099,Jefferson
22711,VA,51113,Madison
81239,CO,8051,Gunnison
26282,WV,54083,Randolph
22845,VA,51171,Shenandoah
95721,CA,6017,El Dorado
20373,DC,11001,District of Columbia
20319,DC,11001,District of Columbia
66622,KS,20177,Shawnee
8320,NJ,34011,Cumberland
21746,MD,24043,Washington
21916,MD,24015,Cecil
15510,PA,42111,Somerset
95915,CA,6063,Plumas
80544,CO,8013,Boulder
19472,PA,42091,Montgomery
16699,PA,42021,Cambria
7939,NJ,34035,Somerset
11556,NY,36059,Nassau
44901,OH,39139,Richland
44881,OH,39033,Crawford
7820,NJ,34041,Warren
81653,CO,8081,Moffat
52557,IA,19101,Jefferson
16140,PA,42073,Lawrence
6856,CT,9001,Fairfield
10545,NY,36119,Westchester
12512,NY,36027,Dutchess
82929,WY,56037,Sweetwater
83121,WY,56023,Lincoln
2366,MA,25023,Plymouth
6061,CT,9005,Litchfield
83233,ID,16007,Bear Lake
1066,MA,25015,Hampshire
13024,NY,36011,Cayuga
57117,SD,46099,Minnehaha
12862,NY,36113,Warren
54307,WI,55009,Brown
4944,ME,23025,Somerset
82731,WY,56005,Campbell
55111,MN,27053,Hennepin
97373,OR,41047,Marion
83671,ID,16049,Idaho
97859,OR,41059,Umatilla
55814,MN,27137,St. Louis
99034,WA,53065,Stevens
32831,FL,12095,Orange
64101,MO,29095,Jackson
960,PR,72021,Bayam??n
23160,VA,51145,Powhatan
38738,MS,28133,Sunflower
40063,KY,21155,Marion
94964,CA,6041,Marin
12977,NY,36031,Essex
37140,TN,47081,Hickman
32447,FL,12063,Jackson
22729,VA,51047,Culpeper
31409,GA,13051,Chatham
93524,CA,6029,Kern
21902,MD,24015,Cecil
72320,AR,5077,Lee
15450,PA,42051,Fayette
8327,NJ,34011,Cumberland
92155,CA,6073,San Diego
66031,KS,20091,Johnson
37213,TN,47037,Davidson
93042,CA,6111,Ventura
92140,CA,6073,San Diego
20390,DC,11001,District of Columbia
96857,HI,15003,Honolulu
92055,CA,6073,San Diego
56321,MN,27145,Stearns
72168,AR,5069,Jefferson
14614,NY,36055,Monroe
53295,WI,55079,Milwaukee
28533,NC,37049,Craven
59636,MT,30049,Lewis and Clark
90822,CA,6037,Los Angeles
85707,AZ,4019,Pima
28310,NC,37051,Cumberland
18225,PA,42079,Luzerne
75852,TX,48313,Madison
70712,LA,22125,West Feliciana
89018,NV,32003,Clark
90073,CA,6037,Los Angeles
29409,SC,45019,Charleston
13602,NY,36045,Jefferson
29904,SC,45013,Beaufort
31314,GA,13179,Liberty
12489,NY,36111,Ulster
70076,LA,22095,St. John the Baptist
75861,TX,48001,Anderson
71644,AR,5079,Lincoln
2841,RI,44005,Newport
60141,IL,17031,Cook
92278,CA,6071,San Bernardino
78243,TX,48029,Bexar
14588,NY,36099,Seneca
12821,NY,36115,Washington
45428,OH,39113,Montgomery
47514,IN,18123,Perry
98314,WA,53035,Kitsap
92134,CA,6073,San Diego
8314,NJ,34011,Cumberland
12929,NY,36019,Clinton
58205,ND,38035,Grand Forks
1434,MA,25027,Worcester
38963,MS,28135,Tallahatchie
95646,CA,6003,Alpine
80913,CO,8041,El Paso
85309,AZ,4013,Maricopa
16239,PA,42053,Forest
99510,AK,2185,North Slope
27531,NC,37191,Wayne
32228,FL,12031,Duval
28725,NC,37099,Jackson
39309,MS,28075,Lauderdale
81059,CO,8071,Las Animas
62846,IL,17081,Jefferson
98421,WA,53053,Pierce
30250,GA,13063,Clayton
99519,AK,2185,North Slope
87749,NM,35007,Colfax
96860,HI,15003,Honolulu
59756,MT,30023,Deer Lodge
82450,WY,56029,Park
89426,NV,32013,Humboldt
22211,VA,51013,Arlington
7703,NJ,34025,Monmouth
39866,GA,13037,Calhoun
24635,VA,51185,Tazewell
23045,VA,51115,Mathews
98827,WA,53047,Okanogan
92147,CA,6073,San Diego
87731,NM,35047,San Miguel
31699,GA,13185,Lowndes
72099,AR,5119,Pulaski
19367,PA,42029,Chester
49947,MI,26053,Gogebic
78843,TX,48465,Val Verde
87117,NM,35001,Bernalillo
63738,MO,29207,Stoddard
84753,UT,49021,Iron
80511,CO,8069,Larimer
79916,TX,48141,El Paso
32083,FL,12125,Union
98207,WA,53061,Snohomish
59276,MT,30019,Daniels
31547,GA,13039,Camden
19902,DE,10001,Kent
72325,AR,5035,Crittenden
56720,MN,27069,Kittson
87824,NM,35003,Catron
3754,NH,33019,Sullivan
77002,TX,48201,Harris
88255,NM,35015,Eddy
29905,SC,45013,Beaufort
31062,GA,13009,Baldwin
11430,NY,36081,Queens
23460,VA,51810,Virginia Beach
40434,KY,21109,Jackson
92135,CA,6073,San Diego
96853,HI,15003,Honolulu
89191,NV,32003,Clark
96113,CA,6035,Lassen
29051,SC,45085,Sumter
70442,LA,22105,Tangipahoa
10979,NY,36071,Orange
64433,MO,29147,Nodaway
8808,NJ,34041,Warren
32681,FL,12083,Marion
78635,TX,48031,Blanco
23511,VA,51710,Norfolk
99734,AK,2185,North Slope
84634,UT,49039,Sanpete
8640,NJ,34005,Burlington
70050,LA,22075,Plaquemines
13436,NY,36041,Hamilton
79847,TX,48229,Hudspeth
97752,OR,41013,Crook
30411,GA,13309,Wheeler
62466,IL,17101,Lawrence
13472,NY,36043,Herkimer
86433,AZ,4015,Mohave
17810,PA,42119,Union
17254,PA,42055,Franklin
33744,FL,12103,Pinellas
23461,VA,51810,Virginia Beach
54985,WI,55139,Winnebago
24719,WV,54109,Wyoming
89422,NV,32021,Mineral
25907,WV,54019,Fayette
76311,TX,48485,Wichita
68531,NE,31109,Lancaster
16738,PA,42083,McKean
28308,NC,37051,Cumberland
