Year,Total Overdose Deaths,Any Opioid1,Prescription Opioids2,Prescription Opioids AND Other Synthetic Narcotics,Prescription Opioids WITHOUT Other Synthetic Narcotics ,Other Synthetic Narcotics (fentanyl)3,Heroin4,Heroin AND Other Synthetic Narcotics,Cocaine AND Any Opioid,Cocaine AND Other Synthetic Narcotics,Psychostimulants With Abuse Potential AND Any Opioid,Psychostimulants With Abuse Potential AND Other Synthetic Narcotics,Benzodiazepines AND Any Opioid,Benzodiazepines AND Other Synthetic Narcotics,Antidepressants AND Any Opioid,Antidepressants AND Other Synthetic Narcotics
1999,16849,8048,3442,142,3300,730,1960,15,1964,47,187,11,701,122,611,122
2000,17415,8407,3785,167,3618,782,1842,18,1834,46,202,7,892,136,679,123
2001,19394,9492,4770,199,4571,957,1779,15,1886,75,164,6,1121,186,890,147
2002,23518,11917,6483,322,6161,1295,2089,15,2318,65,325,19,1511,230,1148,238
2003,25785,12939,7461,344,7117,1400,2080,16,2456,109,359,28,1692,242,1234,230
2004,27424,13755,8577,384,8193,1664,1878,13,2522,130,407,29,2049,270,1379,264
2005,29813,14917,9612,426,9186,1742,2009,34,2842,174,476,33,2430,312,1508,278
2006,34425,17545,11589,573,11016,2707,2088,113,3372,432,526,37,3045,407,1662,300
2007,36010,18515,12796,601,12195,2213,2399,13,3027,219,473,35,3605,436,1901,292
2008,36450,19582,13149,655,12494,2306,3041,28,2656,182,495,47,4070,491,2111,384
2009,37004,20422,13523,872,12651,2946,3278,29,2210,176,654,69,4633,658,2292,505
2010,38329,21088,14583,939,13644,3007,3036,45,2086,167,640,73,5517,746,2389,568
2011,41340,22784,15140,889,14251,2666,4397,44,2505,189,876,93,5826,665,2501,463
2012,41502,23164,14240,861,13379,2628,5925,69,2448,182,993,91,5500,655,2536,464
2013,43982,25050,14145,1015,13130,3105,8257,209,2831,245,1354,142,5869,804,2763,571
2014,47055,28647,14838,1489,13349,5544,10574,1027,3414,628,1806,276,6733,1222,2983,723
2015,52404,33091,15281,2263,13018,9580,12989,2685,4506,1542,2345,494,7485,1801,3062,808
2016,63632,42249,17087,4055,13032,19413,15469,5781,7263,4184,3416,1042,9233,3308,2960,1002
2017,70237,47600,17029,5444,11585,28466,15482,8091,10131,7241,5203,2546,10010,4869,3301,1414
2007-2017 Fold Change,1.950485976,2.570888469,1.330806502,9.058236273,0.9499795,12.86308179,6.453522301,622.3846154,3.346878097,33.06392694,11,72.74285714,2.776699029,11.16743119,1.736454498,4.842465753
