"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate	% of Total Deaths
	"Baldwin County, AL"	"01003"	19	212628	Unreliable	0.0%
	"Cullman County, AL"	"01043"	12	82755	Unreliable	0.0%
	"DeKalb County, AL"	"01049"	11	71617	Unreliable	0.0%
	"Etowah County, AL"	"01055"	26	102755	25.3	0.1%
	"Jefferson County, AL"	"01073"	167	659197	25.3	0.4%
	"Madison County, AL"	"01089"	16	361046	Unreliable	0.0%
	"Mobile County, AL"	"01097"	13	413955	Unreliable	0.0%
	"St. Clair County, AL"	"01115"	15	88199	Unreliable	0.0%
	"Shelby County, AL"	"01117"	27	213605	12.6	0.1%
	"Tuscaloosa County, AL"	"01125"	14	207811	Unreliable	0.0%
	"Anchorage Borough, AK"	"02020"	49	294356	16.6	0.1%
	"Juneau Borough, AK"	"02110"	11	32094	Unreliable	0.0%
	"Matanuska-Susitna Borough, AK"	"02170"	20	106532	18.8	0.0%
	"Prince of Wales-Outer Ketchikan Census Area, AK"	"02201"	Missing	Missing	Missing	Missing
	"Skagway-Hoonah-Angoon Census Area, AK"	"02232"	Missing	Missing	Missing	Missing
	"Wrangell-Petersburg Census Area, AK"	"02280"	Missing	Missing	Missing	Missing
	"Cochise County, AZ"	"04003"	17	124756	Unreliable	0.0%
	"Maricopa County, AZ"	"04013"	631	4307033	14.7	1.3%
	"Pima County, AZ"	"04019"	174	1022769	17.0	0.4%
	"Pinal County, AZ"	"04021"	34	430237	7.9	0.1%
	"Yavapai County, AZ"	"04025"	22	228168	9.6	0.0%
	"Benton County, AR"	"05007"	14	266300	Unreliable	0.0%
	"Garland County, AR"	"05051"	17	98658	Unreliable	0.0%
	"Pulaski County, AR"	"05119"	31	393956	7.9	0.1%
	"Saline County, AR"	"05125"	12	119323	Unreliable	0.0%
	"Alameda County, CA"	"06001"	35	1663190	2.1	0.1%
	"Butte County, CA"	"06007"	16	229294	Unreliable	0.0%
	"Contra Costa County, CA"	"06013"	53	1147439	4.6	0.1%
	"Fresno County, CA"	"06019"	41	989255	4.1	0.1%
	"Humboldt County, CA"	"06023"	27	136754	19.7	0.1%
	"Kern County, CA"	"06029"	82	893119	9.2	0.2%
	"Lake County, CA"	"06033"	16	64246	Unreliable	0.0%
	"Los Angeles County, CA"	"06037"	464	10163507	4.6	1.0%
	"Marin County, CA"	"06041"	15	260955	Unreliable	0.0%
	"Mendocino County, CA"	"06045"	19	88018	Unreliable	0.0%
	"Merced County, CA"	"06047"	14	272673	Unreliable	0.0%
	"Orange County, CA"	"06059"	258	3190400	8.1	0.5%
	"Placer County, CA"	"06061"	18	386166	Unreliable	0.0%
	"Riverside County, CA"	"06065"	134	2423266	5.5	0.3%
	"Sacramento County, CA"	"06067"	59	1530615	3.9	0.1%
	"San Bernardino County, CA"	"06071"	56	2157404	2.6	0.1%
	"San Diego County, CA"	"06073"	283	3337685	8.5	0.6%
	"San Francisco County, CA"	"06075"	102	884363	11.5	0.2%
	"San Joaquin County, CA"	"06077"	75	745424	10.1	0.2%
	"San Luis Obispo County, CA"	"06079"	15	283405	Unreliable	0.0%
	"San Mateo County, CA"	"06081"	41	771410	5.3	0.1%
	"Santa Barbara County, CA"	"06083"	27	448150	6.0	0.1%
	"Santa Clara County, CA"	"06085"	67	1938153	3.5	0.1%
	"Santa Cruz County, CA"	"06087"	19	275897	Unreliable	0.0%
	"Shasta County, CA"	"06089"	28	179921	15.6	0.1%
	"Solano County, CA"	"06095"	10	445458	Unreliable	0.0%
	"Sonoma County, CA"	"06097"	32	504217	6.3	0.1%
	"Stanislaus County, CA"	"06099"	17	547899	Unreliable	0.0%
	"Ventura County, CA"	"06111"	88	854223	10.3	0.2%
	"Adams County, CO"	"08001"	77	503167	15.3	0.2%
	"Arapahoe County, CO"	"08005"	52	643052	8.1	0.1%
	"Boulder County, CO"	"08013"	24	322514	7.4	0.1%
	"Denver County, CO"	"08031"	99	704621	14.1	0.2%
	"El Paso County, CO"	"08041"	112	699232	16.0	0.2%
	"Jefferson County, CO"	"08059"	34	574613	5.9	0.1%
	"Larimer County, CO"	"08069"	28	343976	8.1	0.1%
	"Mesa County, CO"	"08077"	33	151616	21.8	0.1%
	"Pueblo County, CO"	"08101"	29	166475	17.4	0.1%
	"Weld County, CO"	"08123"	13	304633	Unreliable	0.0%
	"Fairfield County, CT"	"09001"	155	949921	16.3	0.3%
	"Hartford County, CT"	"09003"	284	895388	31.7	0.6%
	"Litchfield County, CT"	"09005"	52	182177	28.5	0.1%
	"Middlesex County, CT"	"09007"	42	163410	25.7	0.1%
	"New Haven County, CT"	"09009"	262	860435	30.4	0.6%
	"New London County, CT"	"09011"	83	269033	30.9	0.2%
	"Tolland County, CT"	"09013"	41	151461	27.1	0.1%
	"Windham County, CT"	"09015"	42	116359	36.1	0.1%
	"Kent County, DE"	"10001"	31	176824	17.5	0.1%
	"New Castle County, DE"	"10003"	163	559793	29.1	0.3%
	"Sussex County, DE"	"10005"	47	225322	20.9	0.1%
	"District of Columbia, DC"	"11001"	240	693972	34.6	0.5%
	"Alachua County, FL"	"12001"	12	266944	Unreliable	0.0%
	"Bay County, FL"	"12005"	22	183563	12.0	0.0%
	"Brevard County, FL"	"12009"	72	589162	12.2	0.2%
	"Broward County, FL"	"12011"	285	1935878	14.7	0.6%
	"Citrus County, FL"	"12017"	25	145647	17.2	0.1%
	"Clay County, FL"	"12019"	50	212230	23.6	0.1%
	"Collier County, FL"	"12021"	55	372880	14.8	0.1%
	"Columbia County, FL"	"12023"	11	69612	Unreliable	0.0%
	"Duval County, FL"	"12031"	377	937934	40.2	0.8%
	"Escambia County, FL"	"12033"	33	313512	10.5	0.1%
	"Flagler County, FL"	"12035"	15	110510	Unreliable	0.0%
	"Hernando County, FL"	"12053"	20	186553	10.7	0.0%
	"Hillsborough County, FL"	"12057"	178	1408566	12.6	0.4%
	"Lake County, FL"	"12069"	49	346017	14.2	0.1%
	"Lee County, FL"	"12071"	185	739224	25.0	0.4%
	"Leon County, FL"	"12073"	18	290292	Unreliable	0.0%
	"Manatee County, FL"	"12081"	106	385571	27.5	0.2%
	"Marion County, FL"	"12083"	70	354353	19.8	0.1%
	"Martin County, FL"	"12085"	23	159923	14.4	0.0%
	"Miami-Dade County, FL"	"12086"	246	2751796	8.9	0.5%
	"Monroe County, FL"	"12087"	15	77013	Unreliable	0.0%
	"Nassau County, FL"	"12089"	21	82721	25.4	0.0%
	"Okaloosa County, FL"	"12091"	27	202970	13.3	0.1%
	"Orange County, FL"	"12095"	180	1348975	13.3	0.4%
	"Osceola County, FL"	"12097"	56	352180	15.9	0.1%
	"Palm Beach County, FL"	"12099"	384	1471150	26.1	0.8%
	"Pasco County, FL"	"12101"	68	525643	12.9	0.1%
	"Pinellas County, FL"	"12103"	105	970637	10.8	0.2%
	"Polk County, FL"	"12105"	43	686483	6.3	0.1%
	"St. Johns County, FL"	"12109"	33	243812	13.5	0.1%
	"St. Lucie County, FL"	"12111"	38	313506	12.1	0.1%
	"Santa Rosa County, FL"	"12113"	20	174272	11.5	0.0%
	"Sarasota County, FL"	"12115"	91	419119	21.7	0.2%
	"Seminole County, FL"	"12117"	97	462659	21.0	0.2%
	"Volusia County, FL"	"12127"	122	538692	22.6	0.3%
	"Bartow County, GA"	"13015"	17	105054	Unreliable	0.0%
	"Bibb County, GA"	"13021"	12	152862	Unreliable	0.0%
	"Carroll County, GA"	"13045"	23	117812	19.5	0.0%
	"Catoosa County, GA"	"13047"	11	66550	Unreliable	0.0%
	"Chatham County, GA"	"13051"	27	290501	9.3	0.1%
	"Cherokee County, GA"	"13057"	35	247573	14.1	0.1%
	"Clayton County, GA"	"13063"	21	285153	7.4	0.0%
	"Cobb County, GA"	"13067"	119	755754	15.7	0.3%
	"Columbia County, GA"	"13073"	20	151579	13.2	0.0%
	"Coweta County, GA"	"13077"	18	143114	Unreliable	0.0%
	"DeKalb County, GA"	"13089"	48	753253	6.4	0.1%
	"Douglas County, GA"	"13097"	20	143882	13.9	0.0%
	"Forsyth County, GA"	"13117"	22	227967	9.7	0.0%
	"Fulton County, GA"	"13121"	104	1041423	10.0	0.2%
	"Gwinnett County, GA"	"13135"	77	920260	8.4	0.2%
	"Hall County, GA"	"13139"	24	199335	12.0	0.1%
	"Henry County, GA"	"13151"	20	225813	8.9	0.0%
	"Jackson County, GA"	"13157"	10	67519	Unreliable	0.0%
	"Muscogee County, GA"	"13215"	14	194058	Unreliable	0.0%
	"Newton County, GA"	"13217"	10	108078	Unreliable	0.0%
	"Paulding County, GA"	"13223"	21	159445	13.2	0.0%
	"Richmond County, GA"	"13245"	31	201800	15.4	0.1%
	"Walton County, GA"	"13297"	10	91600	Unreliable	0.0%
	"Whitfield County, GA"	"13313"	11	104658	Unreliable	0.0%
	"Honolulu County, HI"	"15003"	34	988650	3.4	0.1%
	"Maui County, HI"	"15009"	11	166260	Unreliable	0.0%
	"Ada County, ID"	"16001"	35	456849	7.7	0.1%
	"Bannock County, ID"	"16005"	19	85269	Unreliable	0.0%
	"Boone County, IL"	"17007"	12	53513	Unreliable	0.0%
	"Champaign County, IL"	"17019"	28	209399	13.4	0.1%
	"Cook County, IL"	"17031"	1032	5211263	19.8	2.2%
	"DeKalb County, IL"	"17037"	16	104733	Unreliable	0.0%
	"DuPage County, IL"	"17043"	120	930128	12.9	0.3%
	"Franklin County, IL"	"17055"	12	39041	Unreliable	0.0%
	"Jersey County, IL"	"17083"	12	21941	Unreliable	0.0%
	"Kane County, IL"	"17089"	70	534667	13.1	0.1%
	"Kankakee County, IL"	"17091"	25	109605	22.8	0.1%
	"Kendall County, IL"	"17093"	14	126218	Unreliable	0.0%
	"Lake County, IL"	"17097"	55	703520	7.8	0.1%
	"LaSalle County, IL"	"17099"	34	110067	30.9	0.1%
