Year,County,State,FIPS County Code,Opioid Prescribing Rate per 100
2010,"Aleutians East, AK",AK,2013,–
2010,"Aleutians West, AK",AK,2016,–
2010,"Anchorage, AK",AK,2020,75.1
2010,"Bethel, AK",AK,2050,–
2010,"Bristol Bay, AK",AK,2060,–
2010,"Denali, AK",AK,2068,–
2010,"Dillingham, AK",AK,2070,–
2010,"Fairbanks North Star, AK",AK,2090,54.8
2010,"Haines, AK",AK,2100,–
2010,"Hoonah-Angoon, AK",AK,2105,–
2010,"Juneau, AK",AK,2110,92.2
2010,"Kenai Peninsula, AK",AK,2122,103
2010,"Ketchikan Gateway, AK",AK,2130,137.5
2010,"Kodiak Island, AK",AK,2150,62.2
2010,"Lake and Peninsula, AK",AK,2164,–
2010,"Matanuska-Susitna, AK",AK,2170,100.5
2010,"Nome, AK",AK,2180,–
2010,"North Slope, AK",AK,2185,–
2010,"Northwest Arctic, AK",AK,2188,–
2010,"Petersburg, AK",AK,2195,107.8
2010,"Prince of Wales-Hyder, AK",AK,2198,–
2010,"Sitka, AK",AK,2220,–
2010,"Skagway, AK",AK,2230,–
2010,"Southeast Fairbanks, AK",AK,2240,–
2010,"Valdez-Cordova, AK",AK,2261,61.4
2010,"Wade Hampton, AK",AK,2270,–
2010,"Wrangell, AK",AK,2275,48.2
2010,"Yakutat, AK",AK,2282,–
2010,"Yukon-Koyukuk, AK",AK,2290,–
2010,"Autauga, AL",AL,1001,151.7
2010,"Baldwin, AL",AL,1003,143.8
2010,"Barbour, AL",AL,1005,97
2010,"Bibb, AL",AL,1007,58.9
2010,"Blount, AL",AL,1009,60.1
2010,"Bullock, AL",AL,1011,53.8
2010,"Butler, AL",AL,1013,117.5
2010,"Calhoun, AL",AL,1015,182.5
2010,"Chambers, AL",AL,1017,150.3
2010,"Cherokee, AL",AL,1019,165.6
2010,"Chilton, AL",AL,1021,114.7
2010,"Choctaw, AL",AL,1023,110.3
2010,"Clarke, AL",AL,1025,166.6
2010,"Clay, AL",AL,1027,127.2
2010,"Cleburne, AL",AL,1029,19.8
2010,"Coffee, AL",AL,1031,134
2010,"Colbert, AL",AL,1033,209.6
2010,"Conecuh, AL",AL,1035,187.8
2010,"Coosa, AL",AL,1037,50.6
2010,"Covington, AL",AL,1039,185.9
2010,"Crenshaw, AL",AL,1041,116.9
2010,"Cullman, AL",AL,1043,178.8
2010,"Dale, AL",AL,1045,79.1
2010,"Dallas, AL",AL,1047,126
2010,"DeKalb, AL",AL,1049,81.2
2010,"Elmore, AL",AL,1051,113.4
2010,"Escambia, AL",AL,1053,145.7
2010,"Etowah, AL",AL,1055,163.1
2010,"Fayette, AL",AL,1057,46.7
2010,"Franklin, AL",AL,1059,197.5
2010,"Geneva, AL",AL,1061,29.9
2010,"Greene, AL",AL,1063,41.2
2010,"Hale, AL",AL,1065,91.1
2010,"Henry, AL",AL,1067,40.3
2010,"Houston, AL",AL,1069,192.6
2010,"Jackson, AL",AL,1071,132.8
2010,"Jefferson, AL",AL,1073,138
2010,"Lamar, AL",AL,1075,46.5
2010,"Lauderdale, AL",AL,1077,145
2010,"Lawrence, AL",AL,1079,64.3
2010,"Lee, AL",AL,1081,74.3
2010,"Limestone, AL",AL,1083,75.3
2010,"Lowndes, AL",AL,1085,16.7
2010,"Macon, AL",AL,1087,55.7
2010,"Madison, AL",AL,1089,132.8
2010,"Marengo, AL",AL,1091,128.7
2010,"Marion, AL",AL,1093,229.9
2010,"Marshall, AL",AL,1095,217.8
2010,"Mobile, AL",AL,1097,149.6
2010,"Monroe, AL",AL,1099,122.5
2010,"Montgomery, AL",AL,1101,105.5
2010,"Morgan, AL",AL,1103,158.6
2010,"Perry, AL",AL,1105,–
2010,"Pickens, AL",AL,1107,117.7
2010,"Pike, AL",AL,1109,117.4
2010,"Randolph, AL",AL,1111,95.4
2010,"Russell, AL",AL,1113,157.8
2010,"St. Clair, AL",AL,1115,109.5
2010,"Shelby, AL",AL,1117,124.2
2010,"Sumter, AL",AL,1119,49.4
2010,"Talladega, AL",AL,1121,147.4
2010,"Tallapoosa, AL",AL,1123,95.3
2010,"Tuscaloosa, AL",AL,1125,118.7
2010,"Walker, AL",AL,1127,338.1
2010,"Washington, AL",AL,1129,38.2
2010,"Wilcox, AL",AL,1131,51.2
2010,"Winston, AL",AL,1133,139.3
2010,"Arkansas, AR",AR,5001,82.7
2010,"Ashley, AR",AR,5003,46.8
