Year,County,State,FIPS County Code,Opioid Prescribing Rate per 100,Zip Code,City,County Name
2017,AUTAUGA,AL,1001,106.6,36006,Billingsley,Autauga
2017,AUTAUGA,AL,1001,106.6,36003,Autaugaville,Autauga
2017,AUTAUGA,AL,1001,106.6,36091,Verbena,Autauga
2017,AUTAUGA,AL,1001,106.6,36067,Prattville,Autauga
2017,AUTAUGA,AL,1001,106.6,36051,Marbury,Autauga
2017,AUTAUGA,AL,1001,106.6,36066,Prattville,Autauga
2017,AUTAUGA,AL,1001,106.6,36749,Jones,Autauga
2017,BALDWIN,AL,1003,106.7,36550,Little River,Baldwin
2017,BALDWIN,AL,1003,106.7,36511,Bon Secour,Baldwin
2017,BALDWIN,AL,1003,106.7,36579,Stockton,Baldwin
2017,BALDWIN,AL,1003,106.7,36559,Montrose,Baldwin
2017,BALDWIN,AL,1003,106.7,36578,Stapleton,Baldwin
2017,BALDWIN,AL,1003,106.7,36551,Loxley,Baldwin
2017,BALDWIN,AL,1003,106.7,36564,Point Clear,Baldwin
2017,BALDWIN,AL,1003,106.7,36526,Daphne,Baldwin
2017,BALDWIN,AL,1003,106.7,36530,Elberta,Baldwin
2017,BALDWIN,AL,1003,106.7,36580,Summerdale,Baldwin
2017,BALDWIN,AL,1003,106.7,36561,Orange Beach,Baldwin
2017,BALDWIN,AL,1003,106.7,36549,Lillian,Baldwin
2017,BALDWIN,AL,1003,106.7,36507,Bay Minette,Baldwin
2017,BALDWIN,AL,1003,106.7,36576,Silverhill,Baldwin
2017,BALDWIN,AL,1003,106.7,36527,Daphne,Baldwin
2017,BALDWIN,AL,1003,106.7,36555,Magnolia Springs,Baldwin
2017,BALDWIN,AL,1003,106.7,36535,Foley,Baldwin
2017,BALDWIN,AL,1003,106.7,36562,Perdido,Baldwin
2017,BALDWIN,AL,1003,106.7,36567,Robertsdale,Baldwin
2017,BALDWIN,AL,1003,106.7,36542,Gulf Shores,Baldwin
2017,BALDWIN,AL,1003,106.7,36532,Fairhope,Baldwin
2017,BALDWIN,AL,1003,106.7,36574,Seminole,Baldwin
2017,BARBOUR,AL,1005,90.7,36017,Clio,Barbour
2017,BARBOUR,AL,1005,90.7,36016,Clayton,Barbour
2017,BARBOUR,AL,1005,90.7,36048,Louisville,Barbour
2017,BARBOUR,AL,1005,90.7,36027,Eufaula,Barbour
2017,BARBOUR,AL,1005,90.7,36317,Clopton,Barbour
2017,BIBB,AL,1007,80.6,35034,Brent,Bibb
2017,BIBB,AL,1007,80.6,35035,Brierfield,Bibb
2017,BIBB,AL,1007,80.6,35184,West Blocton,Bibb
2017,BIBB,AL,1007,80.6,35188,Woodstock,Bibb
2017,BIBB,AL,1007,80.6,35042,Centreville,Bibb
2017,BIBB,AL,1007,80.6,36792,Randolph,Bibb
2017,BIBB,AL,1007,80.6,36793,Lawley,Bibb
2017,BIBB,AL,1007,80.6,35074,Green Pond,Bibb
2017,BLOUNT,AL,1009,48.9,35013,Allgood,Blount
2017,BLOUNT,AL,1009,48.9,35097,Locust Fork,Blount
2017,BLOUNT,AL,1009,48.9,35172,Trafford,Blount
2017,BLOUNT,AL,1009,48.9,35079,Hayden,Blount
2017,BLOUNT,AL,1009,48.9,35133,Remlap,Blount
2017,BLOUNT,AL,1009,48.9,35031,Blountsville,Blount
2017,BLOUNT,AL,1009,48.9,35121,Oneonta,Blount
2017,BLOUNT,AL,1009,48.9,35049,Cleveland,Blount
2017,BULLOCK,AL,1011,19.9,36089,Union Springs,Bullock
2017,BULLOCK,AL,1011,19.9,36029,Fitzpatrick,Bullock
2017,BULLOCK,AL,1011,19.9,36053,Midway,Bullock
2017,BUTLER,AL,1013,118.6,36033,Georgiana,Butler
2017,BUTLER,AL,1013,118.6,36456,Mc Kenzie,Butler
2017,BUTLER,AL,1013,118.6,36037,Greenville,Butler
2017,BUTLER,AL,1013,118.6,36030,Forest Home,Butler
2017,CALHOUN,AL,1015,138.2,36260,Eastaboga,Calhoun
2017,CALHOUN,AL,1015,138.2,36279,Wellington,Calhoun
2017,CALHOUN,AL,1015,138.2,36206,Anniston,Calhoun
2017,CALHOUN,AL,1015,138.2,36271,Ohatchee,Calhoun
2017,CALHOUN,AL,1015,138.2,36265,Jacksonville,Calhoun
2017,CALHOUN,AL,1015,138.2,36205,Anniston,Calhoun
2017,CALHOUN,AL,1015,138.2,36203,Oxford,Calhoun
2017,CALHOUN,AL,1015,138.2,36207,Anniston,Calhoun
2017,CALHOUN,AL,1015,138.2,36250,Alexandria,Calhoun
2017,CALHOUN,AL,1015,138.2,36277,Weaver,Calhoun
2017,CALHOUN,AL,1015,138.2,36201,Anniston,Calhoun
2017,CHAMBERS,AL,1017,127.0,36854,Valley,Chambers
2017,CHAMBERS,AL,1017,127.0,36863,Lanett,Chambers
2017,CHAMBERS,AL,1017,127.0,36862,Lafayette,Chambers
2017,CHAMBERS,AL,1017,127.0,36855,Five Points,Chambers
2017,CHEROKEE,AL,1019,128.3,35973,Gaylesville,Cherokee
2017,CHEROKEE,AL,1019,128.3,35983,Leesburg,Cherokee
2017,CHEROKEE,AL,1019,128.3,35960,Centre,Cherokee
2017,CHEROKEE,AL,1019,128.3,35961,Collinsville,Cherokee
2017,CHEROKEE,AL,1019,128.3,35959,Cedar Bluff,Cherokee
2017,CHILTON,AL,1021,107.0,36750,Maplesville,Chilton
2017,CHILTON,AL,1021,107.0,35085,Jemison,Chilton
2017,CHILTON,AL,1021,107.0,35045,Clanton,Chilton
2017,CHILTON,AL,1021,107.0,35046,Clanton,Chilton
2017,CHILTON,AL,1021,107.0,36790,Stanton,Chilton
2017,CHILTON,AL,1021,107.0,35171,Thorsby,Chilton
2017,CHOCTAW,AL,1023,92.2,36910,Jachin,Choctaw
2017,CHOCTAW,AL,1023,92.2,36916,Pennington,Choctaw
2017,CHOCTAW,AL,1023,92.2,36912,Lisman,Choctaw
2017,CHOCTAW,AL,1023,92.2,36921,Toxey,Choctaw
2017,CHOCTAW,AL,1023,92.2,36908,Gilbertown,Choctaw
2017,CHOCTAW,AL,1023,92.2,36919,Silas,Choctaw
2017,CHOCTAW,AL,1023,92.2,36915,Needham,Choctaw
2017,CHOCTAW,AL,1023,92.2,36904,Butler,Choctaw
2017,CHOCTAW,AL,1023,92.2,36922,Ward,Choctaw
2017,CHOCTAW,AL,1023,92.2,36913,Melvin,Choctaw
2017,CLARKE,AL,1025,154.5,36436,Dickinson,Clarke
2017,CLARKE,AL,1025,154.5,36727,Campbell,Clarke
2017,CLARKE,AL,1025,154.5,36751,Lower Peach Tree,Clarke
2017,CLARKE,AL,1025,154.5,36545,Jackson,Clarke
2017,CLARKE,AL,1025,154.5,36451,Grove Hill,Clarke
