,County,Year,Deaths,Population
0,"Mohave County, AZ",2008,15,200078
1,"Mohave County, AZ",2009,26,199696
2,"Mohave County, AZ",2009,17,199696
3,"Mohave County, AZ",2010,30,200186
4,"Mohave County, AZ",2010,19,200186
5,"Mohave County, AZ",2011,36,202351
6,"Mohave County, AZ",2012,27,203334
7,"Mohave County, AZ",2013,30,203030
8,"Mohave County, AZ",2014,26,203361
9,"Mohave County, AZ",2015,22,204737
10,"Mohave County, AZ",2016,12,205249
11,"Cook County, IL",2006,20,5165495
12,"Cook County, IL",2006,37,5165495
13,"Cook County, IL",2007,28,5154235
14,"Cook County, IL",2007,43,5154235
15,"Cook County, IL",2008,32,5161831
16,"Cook County, IL",2008,36,5161831
17,"Cook County, IL",2009,13,5181728
18,"Cook County, IL",2009,30,5181728
19,"Cook County, IL",2009,26,5181728
20,"Cook County, IL",2010,11,5194675
21,"Cook County, IL",2010,28,5194675
22,"Cook County, IL",2010,32,5194675
23,"Cook County, IL",2011,20,5217080
24,"Cook County, IL",2011,24,5217080
25,"Cook County, IL",2012,27,5231351
26,"Cook County, IL",2012,44,5231351
27,"Cook County, IL",2012,33,5231351
28,"Cook County, IL",2013,301,5240700
29,"Cook County, IL",2013,83,5240700
30,"Cook County, IL",2013,43,5240700
31,"Cook County, IL",2014,339,5246456
32,"Cook County, IL",2014,66,5246456
33,"Cook County, IL",2014,37,5246456
34,"Cook County, IL",2015,368,5238216
35,"Cook County, IL",2015,78,5238216
36,"Cook County, IL",2015,42,5238216
37,"Cook County, IL",2016,546,5203499
38,"Cook County, IL",2016,134,5203499
39,"Cook County, IL",2016,57,5203499
40,"Cook County, IL",2017,682,5211263
41,"Cook County, IL",2017,167,5211263
42,"Cook County, IL",2017,87,5211263
43,"Lake County, IN",2008,11,495479
44,"Lake County, IN",2009,11,495789
45,"Lake County, IN",2012,16,493618
46,"Lake County, IN",2013,29,491456
47,"Lake County, IN",2014,24,490228
48,"Lake County, IN",2015,23,487865
49,"Lake County, IN",2016,40,485846
50,"Lake County, IN",2017,44,485640
51,"Lake County, IN",2017,43,485640
52,"Genesee County, MI",2008,12,433082
53,"Genesee County, MI",2008,33,433082
54,"Genesee County, MI",2008,21,433082
55,"Genesee County, MI",2009,20,427989
56,"Genesee County, MI",2009,25,427989
57,"Genesee County, MI",2009,20,427989
58,"Genesee County, MI",2010,36,425790
59,"Genesee County, MI",2010,35,425790
60,"Genesee County, MI",2010,23,425790
61,"Genesee County, MI",2011,37,422080
62,"Genesee County, MI",2011,38,422080
63,"Genesee County, MI",2011,15,422080
64,"Genesee County, MI",2012,16,418408
65,"Genesee County, MI",2012,35,418408
66,"Genesee County, MI",2012,18,418408
67,"Genesee County, MI",2013,16,415376
68,"Genesee County, MI",2013,17,415376
69,"Genesee County, MI",2013,12,415376
70,"Genesee County, MI",2014,11,412895
71,"Genesee County, MI",2014,17,412895
72,"Genesee County, MI",2014,10,412895
73,"Genesee County, MI",2015,24,410849
74,"Genesee County, MI",2015,11,410849
75,"Genesee County, MI",2016,47,408615
76,"Genesee County, MI",2016,43,408615
77,"Genesee County, MI",2016,15,408615
78,"Genesee County, MI",2017,54,407385
79,"Genesee County, MI",2017,43,407385
80,"Genesee County, MI",2017,12,407385
81,"Saginaw County, MI",2016,21,192326
82,"Saginaw County, MI",2017,12,191934
83,"Wayne County, MI",2006,89,1932490
84,"Wayne County, MI",2006,40,1932490
85,"Wayne County, MI",2006,34,1932490
86,"Wayne County, MI",2007,54,1900992
87,"Wayne County, MI",2007,34,1900992
88,"Wayne County, MI",2008,74,1865058
89,"Wayne County, MI",2008,43,1865058
90,"Wayne County, MI",2008,19,1865058
91,"Wayne County, MI",2009,87,1837536
92,"Wayne County, MI",2009,43,1837536
93,"Wayne County, MI",2009,23,1837536
94,"Wayne County, MI",2010,52,1820584
95,"Wayne County, MI",2010,43,1820584
96,"Wayne County, MI",2010,17,1820584
97,"Wayne County, MI",2011,66,1802096
98,"Wayne County, MI",2011,38,1802096
99,"Wayne County, MI",2012,71,1792365
100,"Wayne County, MI",2012,60,1792365
101,"Wayne County, MI",2012,14,1792365
102,"Wayne County, MI",2013,148,1775273
103,"Wayne County, MI",2013,63,1775273
104,"Wayne County, MI",2013,23,1775273
105,"Wayne County, MI",2014,166,1764804
106,"Wayne County, MI",2014,68,1764804
107,"Wayne County, MI",2014,16,1764804
108,"Wayne County, MI",2015,234,1759335
109,"Wayne County, MI",2015,106,1759335
110,"Wayne County, MI",2015,27,1759335
111,"Wayne County, MI",2016,239,1749366
112,"Wayne County, MI",2016,134,1749366
113,"Wayne County, MI",2016,28,1749366
114,"Wayne County, MI",2017,291,1753616
115,"Wayne County, MI",2017,123,1753616
116,"Wayne County, MI",2017,34,1753616
117,"Mahoning County, OH",2006,11,246112
118,"Mahoning County, OH",2007,12,243453
119,"Mahoning County, OH",2008,17,241572
120,"Mahoning County, OH",2010,28,238823
121,"Mahoning County, OH",2011,12,237270
122,"Mahoning County, OH",2011,29,237270
123,"Mahoning County, OH",2012,25,235145
124,"Mahoning County, OH",2012,18,235145
125,"Mahoning County, OH",2013,20,233869
126,"Mahoning County, OH",2013,24,233869
127,"Mahoning County, OH",2014,21,233204
128,"Mahoning County, OH",2014,21,233204
129,"Mahoning County, OH",2015,33,231900
130,"Mahoning County, OH",2015,22,231900
131,"Mahoning County, OH",2016,40,230008
132,"Mahoning County, OH",2016,26,230008
133,"Mahoning County, OH",2017,25,229796
134,"Mahoning County, OH",2017,32,229796
135,"Richland County, OH",2013,19,121773
136,"Richland County, OH",2014,17,121942
137,"Richland County, OH",2015,23,121707
138,"Richland County, OH",2016,23,121107
139,"Richland County, OH",2016,14,121107
140,"Trumbull County, OH",2006,14,216185
141,"Trumbull County, OH",2007,11,214296
142,"Trumbull County, OH",2007,17,214296
143,"Trumbull County, OH",2008,11,212191
144,"Trumbull County, OH",2010,22,210312
145,"Trumbull County, OH",2011,20,209264
146,"Trumbull County, OH",2011,12,209264
147,"Trumbull County, OH",2012,11,207406
148,"Trumbull County, OH",2013,20,206442
149,"Trumbull County, OH",2013,10,206442
150,"Trumbull County, OH",2014,31,205175
151,"Trumbull County, OH",2014,20,205175
152,"Trumbull County, OH",2015,49,203751
153,"Trumbull County, OH",2015,21,203751
154,"Trumbull County, OH",2016,26,201825
155,"Trumbull County, OH",2016,16,201825
156,"Trumbull County, OH",2017,27,200380
157,"Trumbull County, OH",2017,14,200380
